Topic 1,Topic 2,Co-occurrence Count
Abraham,Noah,511.5
Chesed,Shavuot,511.5
Commandments,Torah Study,511.5
Commandments,Shabbat,511.5
Holidays,Rosh Hashanah,511.5
Rambam,Yom Kippur,511.5
Gender,Trans Torah,511.0
החברה הישראלית,יחיד וחברה,510.0
Gender,Queer,508.5
Hebrew,RJPS,508.0
Hebrew,NJPS,508.0
Baal HaSulam,Learning,507.5
God,Tefilla,507.5
Peshat,Tanakh,507.5
חיי אדם,מעגל השנה,507.0
God,Yom Kippur,504.0
Learning,Rashbi,504.0
Maimonides,Sin,504.0
Prayer,Psalms,504.0
Purim,Wine,504.0
Rabbi Eliyahu Jian,קבלה,504.0
Kabbalah,Talmud Eser Sefirot,501.0
Learning,Penimiut,500.5
Abraham,Justice,500.0
Creation,Theology,500.0
Law,Women,500.0
Creation,Gender,499.5
Haggadah,Matzah,497.0
Creation,Light,496.0
Kabbalah,Sefirot,496.0
Seder,The Four Sons,496.0
Community,Social Justice,495.0
Joy,Yom Tov,492.0
Lying,Truth,492.0
Passover,The Four Sons,492.0
Holidays,Torah,489.5
Land,Zionism,488.0
Hillel,Machloket,486.5
Maharat,Relationships,486.5
Abraham,Covenant,486.0
Chanukah,Maccabees,486.0
Hillel,Korach,486.0
Kabbalah,Rabbi Michael Maor,486.0
Parashat Yitro,Yitro,486.0
סיפורים מכוננים,תרבות,486.0
Music,Song,485.0
Holidays,Shavuot,484.0
Leadership,Torah,484.0
Teshuva,Yom Kippur,484.0
אמונות ודעות,משמעות החיים,484.0
Haggadah,The Four Sons,483.0
Kabbalah,רבי מיכאל מאור,483.0
Parashat Vayikra,Vayikra,483.0
Rabbi Yehuda Ashlag,Study,483.0
Tanakh,The Hebrew Language,483.0
יחיד וחברה,ציונות,483.0
Chanukah,Holidays,481.0
Mishnah,Passover,480.0
Earth,Environment,478.0
Lamentations,Tisha B'av,477.0
Book of Esther,Purim,476.0
NJPS,Tanakh,476.0
Tanakh,Women in Tanach,476.0
ארץ ישראל,מעגל השנה,476.0
Justice,Truth,475.0
Disagreement,Korach,474.0
Holidays,Passover,473.0
Food,Prayer,472.5
Abortion,Fetus,472.0
Justice,Pirkei Avot,470.0
אמונות ודעות,פרשת השבוע,469.5
אמונות ודעות,ארץ ישראל,469.5
Shavuot,Tikkun Leil Shavuot,469.0
Adam,Parashat Bereishit,468.0
Community,Moses,468.0
Hebrew,Linguistics,468.0
Mishkan,Pekudei,468.0
Relationships,Tanakh,468.0
Abortion,Fetuses,465.5
Abraham,Akeidah,465.0
Education,Tikkun Olam,464.5
Hebrew,Situating Nouns,464.0
Moses,Parashat Shemot,464.0
Moses,Tanakh,464.0
Commandments,Purim,462.0
Omer,Rabbi Akiva,462.0
Penimiut,קבלה,462.0
Gender,RJPS,460.0
Advocacy,Tikkun Olam,459.0
Community,Peace,459.0
Prayer,Sacrifices,459.0
God,Rambam,456.5
Joy,Simcha,456.5
Ethics,Tzelem Elohim,456.0
Kabbalah,Ten Sefirot,456.0
Mishnah,Mishnayos,456.0
Sukkot,Tanakh,456.0
Tanakh,Theology,456.0
Civil/Human Rights,Discrimination & Diversity,455.0
Family,Maharat,455.0
Passover,Slavery,455.0
יחיד וחברה,נשים וגברים,454.5
יחיד וחברה,משפחה,451.0
Community,Yom Kippur,450.0
Education,Teachers,450.0
Justice,Strangers,450.0
אמונות ודעות,תפילה ופולחן,448.5
Amalek,Purim,448.0
Berachot,Prayer,448.0
Jacob,Parashat Vayeitzey,448.0
Pesach,Redemption,448.0
Commentary,Environment,447.5
Etrog,Sukkot,447.0
Abraham,Prayer,445.5
Chassidut,Theology,445.0
Sukkot,Ushpizin,444.5
Biblical Hebrew,Gender,444.0
Midrash,Talmud,444.0
Women,Women and Mitzvot,444.0
Community,Wisdom,441.0
Community,d'Var Torah,441.0
Fetuses,Pregnancy,441.0
Metzora,Tazria,441.0
יחיד וחברה,מרכז יעקב הרצוג,441.0
Children,Commandments,440.0
Forgiveness,Teshuvah,440.0
Halacha,Shabbat,440.0
Justice,Law,440.0
Learning,Teaching,440.0
Seder,Wine,440.0
Shofar,Yom Kippur,440.0
Sin,Teshuvah,440.0
Egypt,Haggadah,437.5
Situating Nouns,Tanakh,437.5
Tanakh,Tshuva,437.5
Fetus,Medical Ethics,436.0
Ethics,People,435.0
Gender,Hebrew,435.0
Land,Shmita,435.0
Parashat Vayikra,Sacrifices,435.0
Service/Volunteerism,Tzedakah,435.0
Shavuot,Ten Commandments,435.0
הרב יהודה אשלג,קבלה,435.0
God,Holidays,434.5
Holidays,Sukkah,434.5
Linguistics,Tanakh,434.0
Mishloach Manot,Purim,434.0
Civil/Human Rights,Tikkun Olam,432.5
Adam,Eve,432.0
Community,Inclusion,432.0
Community,Talmud,432.0
Eating,Prayer,432.0
Elul,Teshuva,432.0
Kabbalah,הרב יהודה אשלג,432.0
Chanukah,Talmud,430.0
Chassidut,Commandments,429.0
Commandments,Theology,429.0
Elul,Maimonides,429.0
Holidays,Obligation,429.0
Mitzvot,Rambam,429.0
Sin,Yetzer Hara,429.0
