Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2
Yoma 42a:13,Rashi on Yoma 42a:13:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:14,Rashi on Yoma 42a:14:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:14,Rashi on Yoma 42a:14:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:14,Rashi on Yoma 42a:14:3,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:14,Rashi on Yoma 42a:14:4,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:14,Tosafot on Yoma 42a:14:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 42a:14,Ritva on Yoma 42a:6,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 42a:2,Rashi on Yoma 42a:2:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:2,Rashi on Yoma 42a:2:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:3,Rashi on Yoma 42a:3:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:3,Rashi on Yoma 42a:3:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:3,Rashi on Yoma 42a:3:3,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:3,Ritva on Yoma 42a:1,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 42a:4,Rashi on Yoma 42a:4:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:4,Ritva on Yoma 42a:2,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 42a:4,Ritva on Yoma 42a:3,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 42a:6,Rashi on Yoma 42a:6:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:6,Numbers 19:3,,Yoma,Numbers,Talmud,Tanakh
Yoma 42a:6,Numbers 19:2,,Yoma,Numbers,Talmud,Tanakh
Yoma 42a:7,Rashi on Yoma 42a:7:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:7,Leviticus 16:11,,Yoma,Leviticus,Talmud,Tanakh
Yoma 42a:7,Leviticus 16:34,,Yoma,Leviticus,Talmud,Tanakh
Yoma 42a:8,Rashi on Yoma 42a:8:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:8,Rashi on Yoma 42a:8:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:8,Tosafot on Yoma 42a:8:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 42a:8,Tosafot on Yoma 42a:8:2,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 42a:8,Ritva on Yoma 42a:4,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 42a:9,Rashi on Yoma 42a:9:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
